vendor_name,address_line1,city,state,postal_code,country,phone_number,email,industry,annual_revenue,last_updated
Apex Dynamics,"7976 Main Rd, Los Angeles, CA 66741",Los Angeles,CA,66741,USA,-2069,apex.dynamics@apexdynamics.com,Technology,61431703.69,30-11-2023
Silver International,"3752 South Place, Jacksonville, FL 70540",Jacksonville,FL,70540,USA,-9913,silver.international@silverinternational.com,Technology,87627876.22,16-04-2023
Summit Solutions,"2391 Lake Ln, San Francisco, CA 25370",San Francisco,CA,25370,USA,-5405,summit.solutions@summitsolutions.com,Construction,53330937.35,16-10-2023
Atlas Inc Group,"7068 Maple Ave, Austin, TX 90081",Austin,TX,90081,USA,-3783,atlas.inc@atlasinc.com,Wholesale,11935715.16,12-11-2024
Summit Dynmics,"6877 Market Rd, Dallas, TX 51457",Dallas,TX,51457,USA,-9219,summit.dynamics@summitdynamics.com,Consulting,68766949.18,26-07-2023
Quantum Enterprises Ventures,"5944 Center Place, San Antonio, TX 82789",San Antonio,TX,82789,USA,-9204,quantum.enterprises@quantumenterprises.com,Hospitality,29827665.65,17-12-2024
Pioneer Global LLC,"314 Valley Terrace, Denver, CO 62767",Denver,CO,62767,USA,-9622,pioneer.global@pioneerglobal.com,Construction,93953982.04,06-08-2023
Gamma Holdings,"7382 Broadway St, New York, NY 86189",New York,NY,86189,USA,-3812,,Finance,85621709.53,21-10-2023
Crest Enterprises Holdings,"2311 West Court, San Diego, CA 92433",San Diego,CA,92433,USA,-7123,crest.enterprises@crestenterprises.com,Wholesale,18019658.75,01-01-2024
Delta Ventures International,"103 Main Blvd, Philadelphia, PA 28116",Philadelphia,PA,28116,USA,-10662,delta.ventures@deltaventures.com,Construction,53333707.59,26-10-2024
Evergreen International Networks,"9545 Broadway Rd, San Antonio, TX 52790",San Antonio,TX,52790,USA,-6525,evergreen.international@evergreeninternational.com,Manufacturing,75007702.59,16-10-2023
Prie Inc,"5977 Ridge Ave, San Francisco, CA 33281",San Francisco,CA,33281,USA,-7874,prime.inc@primeinc.com,Logistics,95080932.09,21-09-2024
Vertex Dynamics,"7554 Center Terrace, Chicago, IL 51119",Chicago,IL,51119,USA,-4873,,Finance,28788569.22,01-03-2023
Prime Global,"8961 South Rd, Columbus, OH 84966",Columbus,OH,84966,USA,-10559,,Wholesale,87940012.08,14-10-2023
Gamma Holdings Dynamics,"9216 East St, San Antonio, TX 44020",San Antonio,TX,44020,USA,-5772,gamma.holdings@gammaholdings.com,Healthcare,88344385.87,23-06-2024
Apex Solutions Co,"1743 Washington Ln, Phoenix, AZ 31623",Phoenix,AZ,31623,USA,-9142,,Logistics,72007162.14,25-08-2023
Silver Group,"8898 East Place, San Jose, CA 49853",San Jose,CA,49853,USA,-2561,silver.group@silvergroup.com,Finance,94612930.43,19-04-2024
Apex Networks,"1608 Oak Ln, Los Angeles, CA 94197",Los Angeles,CA,94197,USA,-3197,apex.networks@apexnetworks.com,Consulting,3483587.8,13-05-2023
Nexus Enterprises,"2351 Cedar Blvd, San Francisco, CA 21258",San Francisco,CA,21258,USA,-8699,nexus.enterprises@nexusenterprises.com,Logistics,66126286.37,12-04-2023
Synergy Group,"262 Washington Terrace, Seattle, WA 56867",Seattle,WA,56867,USA,-10204,,Consulting,30164617.35,31-10-2023
Beta Global,"4835 Cedar Ln, San Jose, CA 10526",San Jose,CA,10526,USA,-7106,beta.global@betaglobal.com,Construction,37532738.86,05-05-2024
Beta Systms,"2247 Ridge Ln, San Francisco, CA 85221",San Francisco,CA,85221,USA,-6710,beta.systems@betasystems.com,Manufacturing,6371097.49,22-04-2024
Prime Ventures,"5755 East Terrace, New York, NY 10279",New York,NY,10279,USA,-2561,,Wholesale,79790339.54,15-02-2024
Prime International,"7197 Broadway Court, Philadelphia, PA 39870",Philadelphia,PA,39870,USA,-6545,prime.international@primeinternational.com,Healthcare,59096120.71,16-02-2024
Bta Dynamics,"3324 Lake Dr, San Jose, CA 10782",San Jose,CA,10782,USA,-10531,beta.dynamics@betadynamics.com,Consulting,33592801.17,31-01-2024
Pioneer Solutions Co,"6279 Sunset Court, New York, NY 30233",New York,NY,30233,USA,-4494,pioneer.solutions@pioneersolutions.com,Finance,72022269.69,11-09-2023
Quantum Holdings,"1989 Broadway Way, Seattle, WA 33145",Seattle,WA,33145,USA,-8682,,Wholesale,70598877.88,24-04-2023
Silver Global,"275 Center Court, Washington, DC 89591",Washington,DC,89591,USA,-7208,silver.global@silverglobal.com,Wholesale,41987994.19,05-01-2024
Synergy Corp,"5764 Pine Blvd, Jacksonville, FL 21822",Jacksonville,FL,21822,USA,-8254,synergy.corp@synergycorp.com,Manufacturing,6884803.49,30-07-2024
Evegreen Corp,"9504 Broadway Way, Jacksonville, FL 96033",Jacksonville,FL,96033,USA,-10752,evergreen.corp@evergreencorp.com,Retail,86113778.75,06-06-2024
Prime Technologies,"5536 Center Dr, Indianapolis, IN 76611",Indianapolis,IN,76611,USA,-2853,prime.technologies@primetechnologies.com,Logistics,15950667.78,12-07-2024
Evergreen Solutions,"262 Sunset Rd, Columbus, OH 58730",Columbus,OH,58730,USA,-3981,evergreen.solutions@evergreensolutions.com,Technology,4312469.25,31-01-2023
Beta Enterprises,"3478 Pine Place, Jacksonville, FL 71102",Jacksonville,FL,71102,USA,-3038,,Technology,36003236.3,09-07-2023
Evergreen Networks,"5935 South St, Los Angeles, CA 79037",Los Angeles,CA,79037,USA,-4718,,Logistics,97803774.18,21-04-2024
Vertex Solutions Holdings,"8948 East Dr, Austin, TX 72116",Austin,TX,72116,USA,-2850,,Manufacturing,84353933.11,17-08-2023
Prime Ventures,"5081 Oak Terrace, Denver, CO 42036",Denver,CO,42036,USA,-3992,prime.ventures@primeventures.com,Finance,89251732.69,22-12-2024
Prime Ventures,"6740 Main St, Indianapolis, IN 47047",Indianapolis,IN,47047,USA,-2492,prime.ventures@primeventures.com,Hospitality,9461168.82,03-07-2024
Alpha Tchnologies,"1802 East Blvd, Austin, TX 45135",Austin,TX,45135,USA,-6678,,Hospitality,17552802.49,05-01-2024
Gmma Holdings,"3791 Center Dr, Chicago, IL 46212",Chicago,IL,46212,USA,-3447,gamma.holdings@gammaholdings.com,Logistics,75987697.03,07-01-2024
Crest International,"2020 Hill Place, Philadelphia, PA 95431",Philadelphia,PA,95431,USA,-5360,crest.international@crestinternational.com,Wholesale,30097778.41,17-11-2024
Beta LLC,"5372 Washington Rd, Fort Worth, TX 11510",Fort Worth,TX,11510,USA,-7143,beta.llc@betallc.com,Retail,13509260.81,26-07-2023
Pioneer Holdings,"1387 Valley St, Los Angeles, CA 80280",Los Angeles,CA,80280,USA,-7904,pioneer.holdings@pioneerholdings.com,Hospitality,13344458.61,13-10-2023
Beta Grou,"3828 Pine Blvd, San Francisco, CA 31195",San Francisco,CA,31195,USA,-10881,beta.group@betagroup.com,Manufacturing,79295790.81,01-10-2023
Prime Group,"9525 Pine Dr, San Jose, CA 90408",San Jose,CA,90408,USA,-3647,,Wholesale,9373251.41,13-03-2024
Zenith Industies,"3893 Pine Blvd, San Jose, CA 41335",San Jose,CA,41335,USA,-8570,zenith.industries@zenithindustries.com,Wholesale,63064041.58,12-10-2024
Vanguard Systems,"9880 Valley Blvd, Washington, DC 43990",Washington,DC,43990,USA,-9913,vanguard.systems@vanguardsystems.com,Healthcare,41125113.72,06-11-2023
Prime Ventures,"2778 Lake Rd, Chicago, IL 90157",Chicago,IL,90157,USA,-3285,prime.ventures@primeventures.com,Finance,13434985.99,23-11-2024
Summit Systems,"6923 North Ave, Charlotte, NC 55598",Charlotte,NC,55598,USA,-3425,summit.systems@summitsystems.com,Technology,74140174.84,10-10-2023
Zenith Inc,"7825 Sunset Place, Chicago, IL 52796",Chicago,IL,52796,USA,-8126,zenith.inc@zenithinc.com,Finance,8678972.97,19-12-2024
Nexus International,"2026 Oak St, Indianapolis, IN 79908",Indianapolis,IN,79908,USA,-10098,nexus.international@nexusinternational.com,Finance,66269971.89,19-08-2023
Prime Global,"8032 Valley Court, Austin, TX 20247",Austin,TX,20247,USA,-4970,prime.global@primeglobal.com,Consulting,81939441.49,01-01-2023
Quantum Solutions,"676 Cedar Rd, Fort Worth, TX 24571",Fort Worth,TX,24571,USA,-9223,quantum.solutions@quantumsolutions.com,Healthcare,52972912.14,27-05-2023
Synergy Group,"2943 Oak Ln, Phoenix, AZ 28182",Phoenix,AZ,28182,USA,-7602,synergy.group@synergygroup.com,Wholesale,36573756.19,11-05-2023
Apex Systems,"4818 Maple Place, San Francisco, CA 91305",San Francisco,CA,91305,USA,-10196,,Manufacturing,49238414.73,04-02-2024
Atlas Inc Corp,"791 Center St, Phoenix, AZ 87360",Phoenix,AZ,87360,USA,-6158,,Healthcare,17527825.48,03-09-2023
Vanguard Neworks,"8169 West Terrace, Fort Worth, TX 67273",Fort Worth,TX,67273,USA,-3527,,Healthcare,85021411.18,15-04-2023
Apex Industries,"7218 Park Ln, Phoenix, AZ 98547",Phoenix,AZ,98547,USA,-7957,apex.industries@apexindustries.com,Healthcare,46488134.49,09-06-2024
Summit Holdings,"7427 Ridge Dr, Columbus, OH 67528",Columbus,OH,67528,USA,-9906,,Finance,82306781.38,26-02-2023
Alpha Ltd,"2914 Center Ln, Austin, TX 70094",Austin,TX,70094,USA,-6866,alpha.ltd@alphaltd.com,Technology,81247991.3,17-08-2023
Silver Industries Group,"3920 Elm Ave, Dallas, TX 61614",Dallas,TX,61614,USA,-7613,,Retail,35112861.48,05-08-2023
Quantum Global,"5512 Hill Rd, Philadelphia, PA 70639",Philadelphia,PA,70639,USA,-10803,,Logistics,79684908.75,20-07-2023
Delta International,"8299 Maple Terrace, Fort Worth, TX 57538",Fort Worth,TX,57538,USA,-10476,,Wholesale,8761883.33,06-06-2023
rime LLC,"7401 Hill Place, Indianapolis, IN 74451",Indianapolis,IN,74451,USA,-2535,prime.llc@primellc.com,Manufacturing,27367713.95,13-06-2023
Delta Networks Group,"4441 East Way, Indianapolis, IN 80002",Indianapolis,IN,80002,USA,-9052,delta.networks@deltanetworks.com,Technology,14909179.33,21-04-2024
Delta Ventures,"5850 Lake Way, San Francisco, CA 42023",San Francisco,CA,42023,USA,-8818,,Healthcare,82469934.19,16-11-2023
Nexus Ventures,"2306 Elm Dr, San Francisco, CA 60321",San Francisco,CA,60321,USA,-7296,,Finance,86322159.91,14-05-2024
Omega Indusries,"5144 Elm Rd, Chicago, IL 76302",Chicago,IL,76302,USA,-5668,,Retail,10171626.55,12-08-2023
Crest Industries,"7693 Oak Way, San Diego, CA 14802",San Diego,CA,14802,USA,-6541,crest.industries@crestindustries.com,Logistics,16818027.29,22-04-2024
Vertex Networks,"252 Ridge Court, San Francisco, CA 35565",San Francisco,CA,35565,USA,-3664,vertex.networks@vertexnetworks.com,Retail,29471389.36,30-06-2024
Beta Global,"6704 North Ave, Denver, CO 31156",Denver,CO,31156,USA,-4315,,Technology,40105841.99,25-05-2023
Apex Ltd Holdings,"7444 Broadway Court, New York, NY 76277",New York,NY,76277,USA,-9425,,Healthcare,90322302.68,20-04-2023
Gamma Technologies,"793 North St, Denver, CO 67803",Denver,CO,67803,USA,-4383,gamma.technologies@gammatechnologies.com,Manufacturing,43882773.95,16-09-2024
Crest Global,"1838 North Blvd, Philadelphia, PA 70900",Philadelphia,PA,70900,USA,-10989,crest.global@crestglobal.com,Consulting,9487916.3,14-01-2024
Zenith Enterprises Systems,"8489 Cedar Terrace, Dallas, TX 33787",Dallas,TX,33787,USA,-2945,zenith.enterprises@zenithenterprises.com,Healthcare,88151441.71,16-02-2023
Synergy Systems,"6952 Lake Terrace, Jacksonville, FL 61834",Jacksonville,FL,61834,USA,-11090,,Healthcare,31301967.14,12-08-2024
Evergreen Networks Inc,"3744 Hill Dr, Indianapolis, IN 57640",Indianapolis,IN,57640,USA,-5409,,Retail,67692376.93,28-12-2023
Evergreen Corp,"192 Hill Blvd, New York, NY 94788",New York,NY,94788,USA,-7108,evergreen.corp@evergreencorp.com,Hospitality,70409534.12,21-02-2023
Beta Networks,"3914 Valley St, Jacksonville, FL 39145",Jacksonville,FL,39145,USA,-10174,beta.networks@betanetworks.com,Wholesale,8117200.85,24-08-2023
ilver Inc,"3675 Pine St, San Jose, CA 23177",San Jose,CA,23177,USA,-8109,silver.inc@silverinc.com,Logistics,81823413.47,22-03-2024
SummitInc,"7159 Cedar Terrace, Phoenix, AZ 28609",Phoenix,AZ,28609,USA,-3030,,Construction,71582935.23,09-10-2024
Crest Industries,"2470 East Terrace, San Diego, CA 60807",San Diego,CA,60807,USA,-10024,crest.industries@crestindustries.com,Retail,42388358.34,13-12-2023
Silver Holdings,"9861 Cedar Court, Chicago, IL 51610",Chicago,IL,51610,USA,-5144,silver.holdings@silverholdings.com,Construction,50568116.92,24-12-2024
Crest Cop,"8169 Elm Ave, Indianapolis, IN 23361",Indianapolis,IN,23361,USA,-5793,crest.corp@crestcorp.com,Healthcare,54667261.31,18-01-2023
Summit Co,"4447 Lake Way, Charlotte, NC 33998",Charlotte,NC,33998,USA,-10454,summit.co@summitco.com,Construction,71462412.7,17-12-2024
Apha Inc,"3026 North Ln, San Diego, CA 31128",San Diego,CA,31128,USA,-11117,alpha.inc@alphainc.com,Consulting,60196113.73,31-05-2024
Summit Global,"7260 Pine Rd, Phoenix, AZ 31537",Phoenix,AZ,31537,USA,-7804,,Finance,64873321.07,09-08-2024
Delta Industries,"5248 Valley Blvd, Los Angeles, CA 63143",Los Angeles,CA,63143,USA,-4123,delta.industries@deltaindustries.com,Construction,39812217.5,09-08-2024
Nexus Global,"4586 Ridge Dr, San Diego, CA 31561",San Diego,CA,31561,USA,-5784,,Healthcare,22711574.63,15-10-2023
Vanguard Corp,"2615 Lake Dr, Charlotte, NC 16398",Charlotte,NC,16398,USA,-5787,,Wholesale,16356729.57,12-08-2024
olden Inc,"4168 Pine Court, Washington, DC 74442",Washington,DC,74442,USA,-5686,golden.inc@goldeninc.com,Technology,46796170.28,07-02-2023
Vertex Ventures,"7334 Elm Ave, Indianapolis, IN 30549",Indianapolis,IN,30549,USA,-2852,vertex.ventures@vertexventures.com,Logistics,48438630.01,25-08-2024
Omega Ventures,"9751 East Way, Indianapolis, IN 93030",Indianapolis,IN,93030,USA,-5301,,Finance,7994117.71,19-09-2024
Alpha Co,"6168 Center Blvd, Washington, DC 28800",Washington,DC,28800,USA,-5131,,Construction,80409554.11,12-09-2023
Delta Solutions,"5726 Maple Dr, Jacksonville, FL 24447",Jacksonville,FL,24447,USA,-11014,delta.solutions@deltasolutions.com,Construction,54085319.53,26-10-2024
Apex Ventures International,"2280 Lake Blvd, Philadelphia, PA 57928",Philadelphia,PA,57928,USA,-2583,apex.ventures@apexventures.com,Finance,87274693.09,13-08-2023
Apex Enterprises,"5412 South Ave, Washington, DC 50079",Washington,DC,50079,USA,-11264,apex.enterprises@apexenterprises.com,Wholesale,37819716.83,03-03-2024
Quantum Inc,"9157 Park Place, Dallas, TX 30899",Dallas,TX,30899,USA,-4106,,Hospitality,88599591,02-12-2024
Summit Group Global,"4185 Cedar Dr, Philadelphia, PA 52519",Philadelphia,PA,52519,USA,-5942,summit.group@summitgroup.com,Retail,50359708.63,16-05-2024
Crest Holdings,"5425 Valley Place, Chicago, IL 21661",Chicago,IL,21661,USA,-8226,crest.holdings@crestholdings.com,Wholesale,87025329.03,08-08-2023
Omega Ltd,"8935 North Way, San Diego, CA 26534",San Diego,CA,26534,USA,-9789,,Healthcare,63616589.58,31-08-2023
Beta Ventures,"344 Oak Dr, Dallas, TX 85465",Dallas,TX,85465,USA,-9676,,Healthcare,75955268.59,17-09-2024
Vanguard Ltd,"3128 Market St, Austin, TX 97249",Austin,TX,97249,USA,-7843,vanguard.ltd@vanguardltd.com,Wholesale,14399907.21,14-11-2023
Gamma Networks,"4765 South Court, Washington, DC 37911",Washington,DC,37911,USA,-8168,,Retail,1084708.83,11-12-2023
Gama Group,"1374 West Place, Denver, CO 19128",Denver,CO,19128,USA,-4371,,Healthcare,3521828.07,26-11-2023
Summit Industries International,"457 Valley Rd, Houston, TX 92072",Houston,TX,92072,USA,-11519,summit.industries@summitindustries.com,Wholesale,40606480.33,01-03-2023
Delta Ventures,"3912 Broadway St, Austin, TX 51524",Austin,TX,51524,USA,-7900,delta.ventures@deltaventures.com,Construction,57992967.57,30-01-2023
Quantum Inc,"9101 South Ln, Seattle, WA 92082",Seattle,WA,92082,USA,-2828,quantum.inc@quantuminc.com,Construction,75480037.44,09-09-2024
Atlas LLC,"2118 Lake Ave, Washington, DC 25960",Washington,DC,25960,USA,-5246,atlas.llc@atlasllc.com,Retail,83898650.01,14-12-2023
Alpha Group,"3467 Maple Place, Charlotte, NC 97384",Charlotte,NC,97384,USA,-3187,alpha.group@alphagroup.com,Wholesale,28369497.06,08-11-2023
Vanguad Co,"6572 Valley Blvd, San Diego, CA 88831",San Diego,CA,88831,USA,-8606,vanguard.co@vanguardco.com,Consulting,43221386.44,12-03-2024
Crest Networks,"8178 North Rd, San Francisco, CA 67365",San Francisco,CA,67365,USA,-8515,,Hospitality,59210788.25,30-08-2024
Omega Dynamics Solutions,"7476 Lake Rd, Denver, CO 30855",Denver,CO,30855,USA,-7410,omega.dynamics@omegadynamics.com,Construction,13870163.37,13-10-2024
Evergreen Technologies Co,"4069 West Rd, Los Angeles, CA 13052",Los Angeles,CA,13052,USA,-4791,,Hospitality,92259635.99,10-03-2023
Vanguard International Solutions,"6203 South Ave, Austin, TX 58396",Austin,TX,58396,USA,-6833,vanguard.international@vanguardinternational.com,Construction,68571057.07,18-06-2024
Synergy Networks,"6575 Maple Ln, Fort Worth, TX 17872",Fort Worth,TX,17872,USA,-5922,synergy.networks@synergynetworks.com,Retail,76993992.51,27-12-2023
Omega LLC,"3620 Main Ln, Austin, TX 50904",Austin,TX,50904,USA,-9434,omega.llc@omegallc.com,Wholesale,36426353.49,15-07-2024
Crest Ventures,"7784 Center Place, Columbus, OH 43692",Columbus,OH,43692,USA,-7136,,Retail,80423947.99,02-04-2023
Nexus Systems LLC,"748 South Ave, San Antonio, TX 27417",San Antonio,TX,27417,USA,-4081,nexus.systems@nexussystems.com,Manufacturing,54083124.67,25-01-2024
Quantum Enterprises Networks,"8251 South Dr, Jacksonville, FL 26705",Jacksonville,FL,26705,USA,-5423,quantum.enterprises@quantumenterprises.com,Logistics,63295528.59,15-01-2024
Alpha Networks Ltd,"7366 Park Way, Chicago, IL 82553",Chicago,IL,82553,USA,-5687,alpha.networks@alphanetworks.com,Hospitality,65846118.37,10-05-2024
Silver Networks,"5788 Main St, New York, NY 13851",New York,NY,13851,USA,-7963,silver.networks@silvernetworks.com,Logistics,9032258.46,20-06-2024
Crest Group Networks,"9636 East Rd, Columbus, OH 84942",Columbus,OH,84942,USA,-8655,,Construction,88121769.85,10-08-2024
Vertex Ltd Global,"8116 Park Court, Charlotte, NC 35378",Charlotte,NC,35378,USA,-6145,,Construction,76648004.02,21-07-2024
Beta International Industries,"2756 Elm Place, Seattle, WA 94031",Seattle,WA,94031,USA,-4372,beta.international@betainternational.com,Logistics,54300068.94,13-02-2024
Atlas Group,"4896 Cedar Way, Chicago, IL 96853",Chicago,IL,96853,USA,-3744,,Retail,14343019.06,14-09-2024
Prime LLC,"676 East Place, Houston, TX 32793",Houston,TX,32793,USA,-2553,prime.llc@primellc.com,Wholesale,55313900.03,09-02-2024
Silver Group Systems,"2614 Washington Way, New York, NY 72067",New York,NY,72067,USA,-1987,silver.group@silvergroup.com,Consulting,81082367.89,06-05-2024
Beta Group,"7538 Broadway Court, Dallas, TX 97016",Dallas,TX,97016,USA,-8019,beta.group@betagroup.com,Technology,71304207.6,03-11-2024
Prime Co Ventures,"5872 Center Ave, San Francisco, CA 73979",San Francisco,CA,73979,USA,-7834,,Retail,16096854.47,05-07-2023
Alpha Ltd Co,"5507 Broadway Terrace, Phoenix, AZ 77538",Phoenix,AZ,77538,USA,-8230,alpha.ltd@alphaltd.com,Technology,23450409.64,05-05-2024
Zenith International,"3453 Maple Terrace, San Jose, CA 80679",San Jose,CA,80679,USA,-8512,zenith.international@zenithinternational.com,Technology,78556344.27,10-04-2024
Summit Inc,"9148 Lake Dr, Los Angeles, CA 68379",Los Angeles,CA,68379,USA,-8707,,Wholesale,48324161.38,18-06-2023
Nexus Enterprises,"5652 Pine St, Phoenix, AZ 77076",Phoenix,AZ,77076,USA,-8341,,Technology,61476895.36,19-09-2023
Alpha International,"5873 Washington Place, Phoenix, AZ 56523",Phoenix,AZ,56523,USA,-10188,alpha.international@alphainternational.com,Wholesale,16923208.73,14-03-2023
Golden Inc Inc,"1659 Sunset Court, San Diego, CA 99163",San Diego,CA,99163,USA,-5438,golden.inc@goldeninc.com,Consulting,40932933.67,03-06-2024
Synery Industries,"6071 Sunset Ln, Austin, TX 19024",Austin,TX,19024,USA,-3334,synergy.industries@synergyindustries.com,Technology,28935596.47,13-03-2023
Summit Industries,"2713 Oak Ave, Dallas, TX 19735",Dallas,TX,19735,USA,-3129,,Finance,94925064.21,12-08-2024
